,Name,GrossTotalDomesticSales,Genre,MPAARating,Runtime,ProductionBudget,WidestRelease,DaysReleased,Tomatometer.Critic.Review....,AudienceScore,NumCriticReviews,NumUserReviews
1,Island of Lemurs: Madagascar (IMAX),9308525,Documentary,G,39,NA,302,NA,80,69,35,10928
2,Goodbye to Language,388223,Foreign,Unrated,70,NA,7,175,86,51,54,2687
3,Alive Inside,256682,Documentary,Unrated,74,NA,20,105,73,93,37,823
4,Mistaken for Strangers,138991,Documentary,Unrated,75,NA,9,49,91,86,57,2657
5,The Blue Room,254666,Foreign,R,75,NA,42,56,86,55,58,756
6,Anita,176979,Documentary,Unrated,77,NA,12,42,76,62,29,543
7,NAS: Time is Illmatic,164540,Documentary,Unrated,78,NA,43,37,100,84,35,992
8,Meet the Mormons,5883132,Documentary,PG,78,NA,333,55,11,90,9,5177
9,Bears,17780194,Documentary,G,78,NA,"1,790",91,89,78,56,22264
10,Code Black,190229,Documentary,Unrated,78,NA,10,101,91,77,34,2141
11,Ernest & Celestine,262075,Animation,PG,80,NA,39,63,97,88,75,6592
12,Ida,3824056,Foreign,PG13,80,NA,137,255,96,79,137,16148
13,"Alexander and the Terrible, Horrible, No Good, Very Bad ",65182182,Family,PG,81,28,"3,117",140,62,60,105,36110
14,Elaine Stritch: Shoot Me,327452,Documentary,Unrated,81,NA,41,NA,98,80,64,2834
15,A Coffee in Berlin,150275,Foreign,Unrated,83,NA,12,70,72,74,47,1381
16,Planes: Fire & Rescue,59100318,Animation,PG,83,50,"3,839",119,44,58,89,21595
17,Obvious Child,3123963,Comdey,R,83,NA,202,126,90,73,114,14588
18,Paranormal Activity: The Marked Ones,32462372,Horror,R,84,NA,"2,883",49,38,35,77,34689
19,No Good Deed (2014),52076908,Thriller,PG13,84,13.2,"2,175",52,10,58,50,28780
20,Le Chef,340911,Foreign,PG13,84,NA,75,59,48,59,33,2151
21,Supermensch: The Legend of Shep Gordon,213064,Documentary,R,84,NA,46,77,77,83,71,1474
22,Finding Vivian Maier,1514782,Documentary,Unrated,84,NA,97,134,94,89,89,8131
23,Dragon Ball Z: Battle of Gods,2553002,Animation,Unrated,85,NA,692,10,NA,80,2,4490
24,Afflicted (2014),121179,Horror,R,85,NA,44,10,79,58,24,9625
25,Korengal,101310,Documentary,R,85,NA,11,77,85,64,34,511
26,A Five Star Life,306917,Foreign,Unrated,85,NA,20,77,61,54,28,726
27,Diplomacy,230880,Foreign,Unrated,85,NA,14,103,93,83,44,1077
28,Locke,1375769,Thriller,R,85,NA,121,112,91,70,191,23996
29,Knights of Badassdom,123854,Comdey,R,86,NA,13,38,58,38,12,4126
30,Dancing in Jaffa,151098,Documentary,Unrated,86,NA,23,41,84,71,32,464
31,Keep On Keepin' On,163745,Documentary,R,86,NA,9,91,97,88,39,1041
32,The Nut Job,60755732,Animation,PG,86,42,"3,472",112,10,45,87,37767
33,A Hard 's Night (2014 re-release),515005,Musical,G,87,NA,136,17,NA,NA,NA,NA
34,The Remaining,1169603,Horror,PG13,87,NA,85,45,56,43,9,3486
35,God's Pocket,169976,Drama,R,87,NA,80,50,36,34,89,2191
36,A Haunted House 2,17329486,Horror,R,87,4,"2,310",56,8,45,37,35396
37,Bad Words,7779614,Comdey,R,88,NA,"1,074",77,65,61,121,27297
38,Legends of Oz: Dorothy's Return,8462027,Animation,PG,88,70,"2,658",83,16,71,55,16166
39,A Matter of Faith,464566,Drama,PG,88,NA,52,133,NA,36,NA,42150
40,Sinbad: The Fifth Voyage,159862,Fantasy,PG13,89,NA,27,8,NA,92,NA,2300
41,The Pyramid,2756333,Horror,R,89,NA,685,56,9,28,33,12454
42,Ouija,50837305,Horror,PG13,89,NA,"2,899",56,7,27,74,28085
43,Gore Vidal: United States of Amnesia,140164,Documentary,Unrated,89,NA,11,57,86,83,28,454
44,Devil's Due,15821461,Horror,R,89,7,"2,544",63,18,21,49,20908
45,Under the Electric Sky,207584,Documentary,PG13,89,NA,25,64,57,61,14,214
46,Art and Craft,235037,Documentary,Unrated,89,NA,20,105,91,73,46,898
47,Coherence,102617,Science Fiction,Unrated,89,NA,7,105,88,79,72,4636
48,About Last Night (2014),47602194,Romance,PG13,89,50,"2,253",105,68,66,92,33084
49,On Any Sun: The Next Chapter,507324,Documentary,Pg,90,NA,231,17,54,85,13,549
50,Ivory Tower,106771,Documentary,PG13,90,NA,12,34,83,77,48,1206
51,Citizen Koch,153908,Documentary,Unrated,90,NA,24,52,54,55,35,379
52,Alan Partridge: The Movie,153426,Comdey,R,90,NA,22,56,87,73,98,13676
53,Blue Ruin,258384,Thriller,R,90,NA,61,63,96,78,129,16045
54,Enemy,1008726,Thriller,R,90,NA,120,63,75,60,105,22136
55,Brick Mansions,20396829,Action,PG13,90,28,"2,647",70,26,47,88,25480
56,Fading Gigolo,3769873,Comdey,R,90,NA,356,91,54,42,125,6801
57,Lucy,124872350,Science Fiction,R,90,40,"3,202",124,66,47,194,129439
58,The Overnighters,110763,Documentary,PG13,90,NA,23,126,98,87,64,1930
59,Jodorowsky's Dune,647280,Documentary,PG13,90,NA,61,133,98,90,109,10854
60,Mr. Peabody & Sherman,106580051,Animation,PG,90,145,"3,951",182,79,73,120,70993
61,Redwood Highway,134049,Drama,PG13,90,NA,17,196,80,55,10,244
62,James Cameron's Deepsea Challenge 3D,235659,Documentary,PG,91,NA,304,7,NA,NA,NA,NA
63,Persecuted,1558836,Thriller,PG13,91,NA,736,28,0,61,13,1969
64,The One I Love,513447,Romance,R,91,NA,82,56,80,76,80,7815
65,Earth to Echo,38934842,Action,PG,91,13,"3,230",90,48,47,116,33426
66,Antarctica: A Year on Ice,288757,Documentary,PG,91,NA,30,105,85,83,26,1781
67,Blended,45090374,Romance,PG13,91,25,"3,555",119,14,64,128,51158
68,Afternoon of a Faun,172450,Documentary,Unrated,91,NA,11,198,89,68,28,197
69,Dracula Untold,54445357,Action,PG13,92,70,"2,900",48,23,59,110,46524
70,"I, Frankenstein",19075290,Action,PG13,92,65,"2,753",56,3,39,86,57598
71,The Babadook,950792,Horror,Unrated,92,NA,80,105,98,75,167,23518
72,Fed Up,1538899,Documentary,PG,92,NA,104,112,81,83,63,11133
73,She's Beautiful When She's Angry,333533,Documentary,Unrated,92,NA,19,140,96,81,28,526
74,Penguins of Madagascar,82390774,Animation,PG,92,132,"3,775",142,71,64,98,61780
75,The Face of Love,350006,Drama,PG13,92,NA,42,NA,43,33,68,1733
76,Before I Go To Sleep,3242457,Thriller,R,93,NA,"1,902",21,36,41,104,12127
77,As Above/So Below,21321100,Thriller,R,93,NA,"2,650",41,27,40,60,20572
78,Dom Hemingway,523511,Drama,R,93,NA,129,44,59,39,121,7228
79,The German Doctor,418392,Foreign,PG13,93,NA,39,56,73,62,59,2489
80,The Hornet's Nest,312706,Documentary,R,93,NA,57,84,76,82,17,3131
81,The Double (2014),200406,Comdey,R,93,NA,16,105,82,60,117,16602
82,The Skeleton Twins,5284309,Drama,R,93,NA,461,105,87,71,142,28213
83,Le Week-End,2225098,Romance,R,93,NA,157,112,88,56,138,5779
84,Song of the Sea,821482,Animation,PG,93,NA,48,126,98,93,57,7358
85,Innocence (2014),294039,Fantasy,PG13,94,NA,490,14,13,43,23,1493
86,The Last of Robin Hood,288545,Drama,R,94,NA,78,21,29,31,63,1475
87,Life of Crime,265452,Comdey,R,94,NA,37,28,65,39,72,7441
88,Beyond Sight: The Derek Rabelo Story,101074,Documentary,PG,94,NA,2,49,NA,100,NA,38
89,That Awkward Moment,26068955,Romance,R,94,8,"2,809",63,23,47,128,42691
90,Sex Tape,38543473,Comdey,R,94,40,"3,062",66,17,34,138,50436
91,And So It Goes,15160801,Comdey,PG13,94,NA,"1,816",70,18,41,83,10335
92,Mood Indigo,303187,Foreign,Unrated,94,NA,37,119,62,53,98,3293
93,I Am Eleven,290650,Documentary,Unrated,94,NA,16,203,81,63,21,306
94,The Love Punch,266588,Comdey,PG13,95,NA,121,31,27,32,51,4529
95,The Signal (2014),600896,Science Fiction,PG13,95,NA,204,35,58,39,79,13714
96,The Green Prince,258237,Documentary,PG13,95,NA,24,77,78,83,49,1419
97,The Way He Looks,101451,Foreign,Unrated,95,NA,14,98,91,89,34,2693
98,"Two Days, One Night",1423552,Foreign,PG13,95,NA,120,114,97,79,145,10490
99,Frank,645186,Comdey,R,95,NA,75,119,92,73,145,19671
100,Land Ho!,727594,Comdey,R,95,NA,73,126,80,54,17,1951
101,The Book of Life (2014),48637684,Animation,PG,95,50,"3,113",133,82,78,106,46003
102,Omar,356000,Foreign,Unrated,96,NA,53,10,91,83,81,4438
103,John Wick,43037835,Action,R,96,20,"2,589",91,85,80,176,66947
104,Neighbors,134938200,Comdey,R,96,18,"3,311",105,73,64,198,126959
105,Tammy,84273813,Comdey,R,96,20,"3,465",107,23,37,166,55634
106,The Jewish Cardinal,133663,Foreign,Unrated,96,NA,7,181,86,72,7,165
107,Venus in Fur,373605,Drama,Unrated,96,NA,45,NA,91,72,99,7415
108,Jinn,202348,Thriller,PG13,97,NA,201,7,10,40,10,3490
109,Bjork - Biophilia Live,127754,Documentary,Unrated,97,NA,27,52,74,88,19,195
110,Elsa & Fred (2014),285863,Romance,PG13,97,NA,34,56,28,52,18,542
111,The Giver,44137725,Fantasy,PG,97,60,"3,003",77,36,57,145,53184
112,Night at the Museum: Secret of the Tomb,111506430,Family,PG,97,127,"3,914",119,50,60,101,98282
113,"20,000  on Earth",279558,Documentary,Unrated,97,NA,28,121,95,82,80,3907
114,The Boxtrolls,50577412,Animation,PG,97,60,"3,464",133,75,65,149,44100
115,Maleficent,233921534,Fantasy,PG,97,180,3948,189,49,71,195,173178
116,23 Blast,549185,Drama,PG13,98,NA,617,28,38,73,21,4090
117,The Quiet Ones,8509867,Horror,PG13,98,NA,"2,027",42,36,25,69,12904
118,Moms' Night Out,10429707,Comdey,PG,98,NA,"1,046",66,18,68,38,19152
119,Hercules (2014),71962800,Action,PG13,98,100,"3,595",84,60,50,104,101394
120,Love is Strange,2262223,Drama,R,98,NA,138,91,94,67,145,11995
121,The Two Faces of January,507463,Thriller,PG13,98,NA,59,91,82,48,105,12913
122,Magic in the Moonlight,10539326,Comdey,PG13,98,NA,964,119,51,46,156,11537
123,Godzilla: The Japanese Original,150191,Foreign,Unrated,98,NA,21,119,NA,NA,NA,NA
124,Palo Alto,767732,Drama,R,98,NA,57,126,73,49,31,13171
125,Last  in Vietnam,466114,Documentary,Unrated,98,NA,25,168,95,80,55,2664
126,Bethlehem,201700,Foreign,Unrated,99,NA,29,17,79,75,47,505
127,The Guest (2014),332890,Thriller,R,99,NA,53,40,90,68,96,17996
128,The Legend of Hercules,18848538,Action,PG13,99,70,"2,104",63,3,34,71,40708
129,Particle Fever,869838,Documentary,Unrated,99,NA,27,117,95,83,44,4645
130,A Girl Walks Home Alone at Night,424593,Foreign,Unrated,99,NA,19,147,95,79,75,6152
131,Main Tera Hero,274579,Foreign,Unrated,100,NA,77,21,NA,39,NA,277
132,One Chance,101196,Musical,PG13,100,NA,43,33,63,66,56,8285
133,Gimme Shelter,1359910,Drama,PG13,100,NA,385,35,22,64,69,7977
134,Kirk Cameron's Saving Christmas,2783970,Family,PG,100,NA,410,42,0,31,12,21026
135,Laggies,1066981,Romance,R,100,NA,306,56,69,50,105,7675
136,The Grand Budapest Hotel,58607007,Comdey,R,100,30,"1,467",60,98,86,258,89915
137,Zero Motivation,116044,Foreign,Unrated,100,NA,7,72,83,85,36,694
138,Calvary,3600006,Comdey,R,100,NA,322,77,89,80,146,16491
139,Jack Ryan: Shadow Recruit,50474843,Action,PG13,100,60,"3,387",77,56,54,159,63800
140,Stranger By the Lake,325196,Foreign,Unrated,100,NA,16,105,93,65,87,5846
141,Ride Along,131538435,Comdey,PG13,100,25,"2,867",111,18,59,120,97260
142,Heaven is for Real,90979003,Drama,PG,100,12,"3,048",117,46,67,80,58910
143,The LEGO Movie,255119788,Animation,PG,100,60,3890,210,96,87,221,210169
144,Dear White People,4404154,Comdey,R,100,NA,393,NA,92,64,100,19561
145,Cold in July,427418,Drama,R,100,NA,73,NA,85,68,103,11320
146,Dr. Cabbie (U.S. only),225490,Comdey,Unrated,101,NA,220,16,NA,NA,NA,916
147,The Fluffy Movie,2827393,Drama,PG13,101,NA,432,35,54,78,13,10966
148,Cesar Chavez,5571497,Drama,PG13,101,NA,664,42,41,61,69,7923
149,Top Five,25317291,Comdey,R,101,NA,"1,426",56,88,66,139,23658
150,Words and Pictures,2171257,Comdey,PG13,101,NA,216,91,42,51,85,3038
151,Teenage Mutant Ninja Turtles (2014),188020017,Action,PG13,101,125,3980,105,21,53,131,128910
152,Rio 2,128002372,Animation,G,101,103,"3,975",147,48,59,105,104650
153,Finding Fanny,615691,Foreign,Unrated,102,NA,121,7,40,48,5,562
154,What If (2014),3493000,Romance,PG13,102,NA,787,42,NA,NA,NA,NA
155,Frank Miller's Sin City: A Dame to Kill For,13757804,Drama,R,102,NA,"2,894",49,43,47,161,143255
156,Tusk,1826705,Horror,R,102,NA,602,56,39,39,109,10487
157,Pompeii,23219748,Action,PG13,102,100,"2,658",59,29,35,143,45847
158,Tracks (2014),510007,Drama,PG13,102,NA,67,70,81,78,111,9666
159,The Rover,1114423,Drama,R,102,12,608,70,65,51,156,10821
160,300: Rise of An Empire,102427862,Action,R,102,110,"3,490",84,42,53,170,139433
161,The Unknown Known,276497,Documentary,PG13,102,NA,80,91,83,69,100,5032
162,We Are The Best!,180590,Foreign,Unrated,102,NA,23,105,97,79,117,4985
163,Kids For Cash,143178,Documentary,Unrated,102,NA,12,112,91,76,35,3244
164,Saw 10th Anniversary,815324,Horror,R,103,NA,"2,063",7,48,84,87,NA
165,Endless Love (2014),23438250,Romance,PG13,103,20,"2,896",35,15,59,85,24667
166,Rosewater,3128941,Drama,R,103,NA,371,49,75,70,119,11722
167,The Expendables 3,39322544,Action,R,103,NA,"3,221",63,33,49,151,76542
168,America (2014),14444502,Documentary,PG13,103,NA,"1,105",70,8,85,24,11521
169,This is Where I Leave You,34296320,Comdey,R,103,19.8,"2,868",77,41,61,143,33350
170,The Purge: Anarchy,66954149,Thriller,R,103,9,"2,856",86,57,58,118,64856
171,St. Vincent,43737712,Comdey,PG13,103,13,"2,552",147,77,80,164,68842
172,Rob the Mob,208693,Drama,R,104,NA,30,63,84,56,37,2409
173,Vampire Academy,7791979,Fantasy,PG13,104,NA,"2,676",63,9,57,43,29419
174,Begin Again,16170632,Comdey,R,104,NA,"1,302",112,83,81,144,36025
175,Let's Be Cops,78031620,Action,R,104,17,"3,140",121,18,53,71,60401
176,The Lunchbox,4235151,Foreign,PG,104,NA,165,203,96,87,94,14607
177,Addicted,17390770,Drama,R,105,NA,"1,037",56,8,54,13,15304
178,Glen Campbell... I'll Be Me,365422,Documentary,PG,105,NA,18,70,100,96,29,1518
179,Left Behind (2014),14019924,Thriller,PG13,105,16,"1,887",70,2,45,61,18984
180,Oculus,27695246,Horror,R,105,NA,"2,648",77,73,52,133,43005
181,Yves Saint Laurent,723593,Foreign,R,105,NA,24,93,45,41,29,2991
182,Belle,10726630,Drama,PG,105,NA,525,119,83,83,131,24329
183,How to Train Your Dragon 2,167767189,Animation,PG,105,145,"4,268",182,92,90,159,183294
184,Anohana The Movie: The Flower We Saw That,109630,Animation,Unrated,106,NA,41,27,NA,78,NA,118
185,Evangelion: 3.0 You Can (Not) Redo,174945,Animation,Unrated,106,NA,82,31,NA,64,NA,308
186,But Always (Yi Sheng Yi Shi),430760,Foreign,Unrated,106,NA,20,42,0,58,6,352
187,Cantinflas,6382924,Drama,PG,106,NA,429,49,29,71,7,4808
188,The Drop,10724389,Drama,R,106,12.6,"1,192",63,89,77,177,30460
189,If I Stay,50151543,Drama,PG13,106,11,"3,157",77,36,63,118,46604
190,Big Eyes,14482031,Drama,PG13,106,NA,"1,408",92,71,70,157,27293
191,Whiplash,13092000,Drama,R,106,3.3,567,171,95,95,241,55580
192,The Identical,2827666,Drama,PG,107,NA,"1,956",21,7,69,60,4885
193,The Zero Theorem,257706,Science Fiction,R,107,NA,63,35,52,44,108,8902
194,Veronica Mars,3322127,Comdey,PG13,107,6,347,42,78,79,120,26052
195,The Railway Man,4438438,Drama,R,107,NA,600,98,66,68,109,14901
196,Dolphin Tale 2,42024533,Family,PG,107,36,"3,656",98,67,74,79,27144
197,Six Dance Lessons in Six Weeks,106323,Comdey,Unrated,107,NA,13,119,45,65,11,203
198,My Old Lady,4013786,Comdey,PG13,107,NA,273,128,56,47,76,3669
199,Under the Skin (2014),2614251,Science Fiction,R,107,13.3,176,133,85,54,207,32841
200,Awake: The Life of Yogananda,1435662,Documentary,PG,107,NA,21,182,73,82,11,430
201,The November Man,25018119,Action,R,108,NA,"2,776",65,35,48,115,18774
