"Precinct","Area","Population","TotalA","White","Black","Native","AsPac","Hisp","WhiteA","BlackA","NativeA","AsPacA","HispA"
1,1.6222942931026,66679,49,47231,1982,57,10543,4676,1,35,0,0,10
5,0.621884421912021,52568,312,10739,2299,33,32721,5910,43,123,1,27,104
6,0.760844327786797,62226,142,50468,1214,47,5003,3781,37,65,0,2,33
7,0.631324045885591,56355,462,13479,4578,95,19202,17976,96,139,0,16,190
9,0.735654188786664,76443,418,39560,5466,127,10859,18291,70,158,0,8,168
10,0.93621711258156,50180,260,30799,3518,71,5616,8821,52,121,1,3,79
13,1.01452784781355,93640,277,65354,4369,100,12816,8565,28,140,0,11,89
14,0.704720750110296,20651,433,11605,1353,34,4944,2198,47,245,2,5,120
17,0.765702247231728,79126,104,60226,1583,44,11073,4595,30,41,0,3,24
18,1.11030410094159,54066,177,32682,2637,68,8414,8883,47,71,0,7,40
19,1.67569675641259,208259,412,168711,4817,116,16775,13827,109,155,0,11,128
20,0.951368191250314,102624,169,78880,3855,87,8983,8609,38,72,0,5,40
22,1.31700001296531,25,15,2,16,0,0,6,2,8,0,0,2
23,0.738059403830719,73106,626,10864,18582,131,5486,36656,23,323,0,0,265
24,0.876015252480154,106460,215,61970,11979,134,7005,22738,19,101,2,1,79
25,1.54012614966339,47405,542,3578,19008,114,1232,22634,16,339,1,2,166
26,0.819519702244048,49508,186,19207,10158,113,6186,12277,8,134,1,0,38
28,0.525588510221797,44781,373,7227,25067,114,1597,9393,15,298,1,0,45
30,0.647671581117827,60685,117,6178,16951,161,1388,34825,3,63,0,0,37
32,0.791060880920724,70942,474,3823,47791,242,1236,16299,7,391,0,0,59
33,0.889257183939266,77645,152,8151,8661,113,2131,57530,8,62,1,0,71
34,1.79179596518117,112375,170,25291,5293,115,2683,77446,7,27,0,0,128
40,2.07684180273771,91497,723,1428,23680,177,542,64887,8,313,1,3,359
41,2.13659507826566,52246,228,694,11536,92,341,39089,10,98,0,0,112
42,1.54090878184633,79762,506,918,31387,230,380,46013,5,292,0,0,174
43,3.89595784601951,172122,710,4739,53042,562,9937,99213,22,360,1,5,297
44,1.90921118010283,146441,254,2193,47344,310,2258,92338,6,132,0,0,104
45,9.3352139559453,120833,207,41615,26967,277,5539,44175,41,70,0,5,76
46,1.31761625093656,128200,410,1791,36795,318,1949,85600,4,189,3,4,195
47,5.51972817766751,152374,352,10871,99102,587,2922,34919,13,251,0,3,70
48,1.48650517866485,83266,174,6219,21548,172,952,53447,6,80,0,0,85
49,3.6378204439109,114712,141,31212,23367,265,8731,48721,14,66,0,5,52
50,4.69122339432268,101720,12,39181,11432,146,5048,44156,0,3,0,0,6
52,2.7367897704634,139307,163,10034,26171,317,9189,90981,7,48,0,1,99
60,3.03141735060217,104278,337,59405,13401,183,12310,17423,70,159,1,2,92
61,4.62894868939962,159645,331,114720,5298,88,24121,13029,168,101,0,8,39
62,3.54841436219181,181981,161,90741,1362,145,62948,24239,98,9,0,3,46
63,7.89382132786271,108646,71,45309,46606,198,5067,9247,12,54,0,0,2
66,3.42166753051439,191382,76,125152,4338,179,33878,24854,15,8,1,6,41
67,3.22309606350577,155252,160,2204,137243,405,1786,10536,8,147,0,0,2
68,3.81434247934076,124491,157,76537,1757,97,25766,17868,86,20,1,4,42
69,4.06934465968646,84480,150,4972,68396,193,2241,7059,5,120,0,0,16
70,2.82532187687552,160664,282,59590,56948,346,15184,25165,19,211,1,9,39
71,1.55836331325973,98429,145,18825,66958,199,1239,9157,3,131,0,0,5
72,3.59859055713237,126230,135,29464,3688,178,33321,57375,5,35,0,7,79
73,1.78000130987149,86468,224,858,65930,287,620,17369,2,195,0,0,19
75,6.64398108449713,183328,419,6245,94685,715,9064,67131,15,305,3,4,77
76,1.65851985122311,43694,234,24791,6097,65,2034,9543,30,118,0,2,81
77,1.46730696134225,96309,141,16048,63111,217,2740,11498,2,122,0,0,7
78,2.32632031346355,61099,126,40965,4877,78,3531,9509,10,70,2,1,31
79,1.54633279068571,90263,270,14506,51142,210,2445,20014,2,214,0,1,42
81,1.18566545341674,62722,109,2128,47638,243,1080,10474,0,99,0,0,5
83,1.94786112703134,112634,138,9564,22688,201,4807,73616,3,61,0,1,61
84,1.21914557523499,48196,119,30066,5935,79,4466,6078,6,84,0,1,25
88,1.45748634937736,51421,358,15904,21986,126,3349,8093,14,283,0,1,42
90,2.27444618203989,116836,120,64467,7294,122,5484,37920,10,36,1,0,65
94,2.25643604447759,56247,66,40844,1688,84,3281,9088,27,10,0,0,24
100,7.19864537685984,47913,200,26793,11609,94,1334,7161,34,136,0,0,27
101,2.91790027094447,67065,591,13666,33054,215,1284,16941,29,478,0,4,61
102,4.5835695449687,144008,462,28493,12021,962,31448,58767,59,104,7,86,202
103,3.46984140849039,105803,689,2765,45835,879,17705,29343,47,494,1,31,110
104,7.23745337496307,170190,233,93378,2368,222,13150,58947,66,36,1,7,117
105,11.9428607915491,188582,262,24611,104029,670,27813,22337,10,201,2,7,23
106,5.92700582277038,122441,334,31739,20990,1156,22363,28309,45,117,2,73,94
107,7.13423647491846,151107,264,52871,19107,352,47130,25621,33,151,6,14,48
108,4.94982542618786,113200,177,32470,2132,187,36275,39207,29,20,0,13,109
109,11.0842092574544,247354,337,73668,5512,215,122094,41164,59,71,0,82,121
